item_name,item_category
"Fab, PCB, Interface  Board - Bus Box",Printed Circuit Board
"Capacitor, Chip, 0.7pF 0402, AVX Accu-P, 0.05pF tol, 0.3ppm/C, 25V, RoHS",Capacitor
"Capacitor, Chip, 1.6pF 0402, AVX Accu-P, 0.05pF tol, 0.3ppm/C, 25V, RoHS",Capacitor
"Capacitor, Chip, 3.0pF 0402, AVX Accu-P, 0.05pF tol, 0.3ppm/C, 25V, RoHS",Capacitor
"Conn, ZIF, 0.5mm, 16-position, Vertical, with Actuator",Connector
"IC, ADC, 4-Ch, 12-Bit, 50MHz",IC
"Capacitor, Chip,220pF 5% 0201, COG, 50V, xxxpF, xx%",Capacitor
"Capacitor, Chip, 0402, X7R, 50VDC, 10%, 0.1uF",Capacitor
"IC, Op-Amp, Quad, 22MHz, 3.3nV/Rt-Hz, Rail-Rail, 36V",IC
"IC, Switch, SP4T, 10Hz-8GHz",IC
"IC, Switch, SP2T, 5-6000MHz, Low-Loss",IC
"Resistor, 15.0 kohm 1%, 50mW, 0201",Resistor
"Resistor, 1.00kohm 1%, 50mW, 0201",Resistor
"Resistor, 20.0 ohm  1%, 50mW, 0201",Resistor
"Resistor, 1%, 50mW, 0201",Resistor
"Resistor, 4.02kohm  1%, 50mW, 0201",Resistor
"Resistor, 49.9 ohm 1%, 50mW, 0201",Resistor
"Varactor, 0402 Pkg, 1.15-3.44pF, 20V-4V, Rs=0.8ohm",Diode
TI Daughter Bare FAB,Printed Circuit Board
"LABEL, PRODUCT, RING SENSOR",Label
"Conn,RoHS,Circ-14Posn,Bhd,2 Key, Gry Nut,PC Mt",Connector
"Conn, RoHS, 6Posn,2Key,Bhd,PC Mt,Gry Nut",Connector
"RES,1/10W,1%,0603 PKG,30.1 OHM",Resistor
"RES,1/10W,1%,0603 PKG,124 OHM",Resistor
"RES,1/16W,1%,0402 PKG,33.2",Resistor
"RES,1/16W,1%,0402 PKG,10K",Resistor
"IC, RoHS, LT1025CN8,8DIP",IC
"Assy, TNL450I, Radio, PCBA, Untested, 1/2w, 410-430",Subassembly
"ASSY,TNL450I, DOOR,410-430,APOLLO RoHS",Finished Good
"Quadrature Hybrid Coupler, 1.7-2.0 GHz",IC
"Band 3 Uplink Filter Module (RX BAW Filter), 1747.5 MHz",IC
"Band 3 Downlink Filter Module (TX BAW Filter), 1852.5 MHz",IC
"CAP, .1pF, 0201, 25V",Capacitor
"RES, 54.9 Ohm, 1%, .1W, 0402",Resistor
"RES, 49.9 Ohm, 1%, 1/20W, 0201",Resistor
"CONN, SMA Female Edge Mount for 0.031"" Thick Board",Connector
"PCBA, P1 BOARD",Printed Circuit Board Assembly
"PCBA, P1AB BOARD",Printed Circuit Board Assembly
"PCBA, C1 BOARD",Printed Circuit Board Assembly
"PCBA, C2 BOARD",Printed Circuit Board Assembly
"PCBA, TEMP SNSR",Printed Circuit Board Assembly
"PCBA. PDB, BOM, PWR DISTR, DO, TEST",Printed Circuit Board Assembly
"PCBA, VPDB PWR DSTRB BD",Printed Circuit Board Assembly
PCBA 0122-1661 REWORK,Printed Circuit Board Assembly
"PCB, LYRX, BOM, W, LYRA LCB",Printed Circuit Board
"PCB, LYRX, BOM, W, LYRA LCB",Printed Circuit Board
"PCB, LYRX, BOM, W, LYRA LCB",Printed Circuit Board
"PCB, LYRX, BOM, W, LYRA LCB",Printed Circuit Board
"PCA, BOM, ASSY, 24VSSSR",Printed Circuit Board Assembly
"PCA, BOM, ASSY, 24VSSSR",Printed Circuit Board Assembly
"CAP.CER .001MF,20%.1KVDC .295D",Capacitor
"CAP,CER Y5P 0.01uF 20% 50V .200-DISC",Capacitor
"CAP,Z5U 0.1uF20%.100V.20RDL",Capacitor
"CAP.CER. 1UF,20%. 50V. Z5U.",Capacitor
CAP TANT AX 1.0MF 35V,Capacitor
CAP TANT AX 4.7MF 35V,Capacitor
"CAP.TANT.10MF,10%.20V. AXIAL.",Capacitor
CAP CER RDL 150PF 1000V S3N,Capacitor
"CLIP,FUSE W/EAR PCB MT 3AGSZ",Misc. Electrical
CONN.CARDEDGE.44DIP. 0.156CTRS,Connector
CONN.CARDEDGE.86DIP. 0.156CTRS,Connector
CONN.HEADER ASSY.4PIN/0.165CTR,Connector
CONN.HEADER ASSY.6PIN/0.165CTR,Connector
"CONN HDR 6PIN.025"".10CTR PLZD",Connector
CONN.HDR ASSY.RT ANGLE. 5-PIN.,Connector
CONN.HDR ASSY.2-PIN. 0.10 CTRS,Connector
CONN.HDR ASSY.2-PIN. RT-ANGLE.,Connector
"HDR,STR 1x36P .025"" .10CT .230/.100",Connector
CONN.JUMPER.2-POS/PCB MT/.1CTR,Connector
CONN HDR 5PIN.025SQ .10CT PLZD,Connector
"CONN.HDR,W/LATCH-EJECT.20P.R/A",Connector
"CONN,HDR ASSY 20-P MALE R/ANG 3A 1.28""L",Connector
"CONN,HDR STR 20P .100CTR .125PCB W/LATCH",Connector
CONN. HDR RECPT 10PIN STR DBRW,Connector
CONN 12CKT 198CTR 11M/1F PCB,Connector
"OSCILLATOR,XTAL CLOCK 4.000MH",Crystal
"DIODE 1N914, FSC",Diode
DIODE.LM385B-2.5VOLT REF.TO-92,Diode
"HANDLE,PCB EJECTOR",Misc. Electrical
"FILTER,EMI.2200PF;100V;7A.DISC",Misc. Electrical
FUSE PIN TYPE 1/2A 125VAC FB,Misc. Electrical
"FUSE,MICRO PLUG-IN. 1A/125VAC.",Misc. Electrical
"FUSE,MICRO PLUG-IN. 50mA/125V.",Misc. Electrical
"FUSE,MICRO PLUG-IN,3A/125VAC",Misc. Electrical
"FUSE, FAST-BLOW 7A 250V .41""ODX1.5""L",Misc. Electrical
"FUSEHOLDER,MICRO PC MT,VERT.",Misc. Electrical
HEATSINK VERT PCB MT PLSTC PWR,Misc. Electrical
INSULATOR THRM CNDCT TO-220,Misc. Electrical
"INSULATOR.PAD,SILICON T0-247",Misc. Electrical
"IC, PWR MOSFET, N-CHNL, TO-247",IC
"IC,PWR MOSFET,P-CHNL,100V T247",IC
IC HEX CONT DEBOUNCER MC14490,IC
IC SRAM. #CY7C189-25PC.,IC
IC HCTL-2016.D/C INTERFACE.16P,IC
IC 1458.DUAL OP-AMP. 8-PDIP.,IC
IC A-D CONVERTER 8-BIT ADC0804,IC
IC7805/340.VOLT.REG.5V. TO-220,IC
IC 7406 14-P DIP,IC
"IC,74HC08 QUAD AND GATES 2IN 14P DIP PLS",IC
IC 74HC14.HEX.INV.TRIG.14-PDIP,IC
"IC, 74HC74 DUAL 'D FLIP-FLOP W SET-RESET",IC
IC 74HC125.BUS BUFFER. 14-PDIP,IC
IC 74HC138. 3-8 LINE DECODER.,IC
"IC 74HC157.2-I/P,MULTIP.16PDIP",IC
IC 74HC244.OCTAL BUFF/DRVR.20P,IC
IC 74HC245 OCTAL 3-STATE XCVR,IC
IC 74HC273 OCTAL D-TYPE F/F,IC
IC 74HC373 OCTAL TRANS LATCH.,IC
IC 74HC374 OCTAL`D'FLIP-FLOPTS,IC
IC 74HC640.OCTAL XCVR. 20-PDIP,IC
"IC 74HC123.PULSE WIDTH,K=0.45.",IC
IC 74HCT240.OCTAL/DRVR.20-PDIP,IC
IC VR+12V 1A 15W LM340T-12,IC
PIN PCB EJEC MT 3/32D 1/4L STL,Misc. Electrical
RES WW 5.0 5% 5W,Resistor
"RES,CF 10 5% 1/4W AXL",Resistor
"RES,CF 180 5% 1/4W AXL",Resistor
"RES,CF 220 5% 1/4W AXL",Resistor
"RES,MF 324 1% 1/4W AXL",Resistor
"RES,CF 330 5% 1/4W AXL",Resistor
"RES,CF 470 5% 1/4W AXL",Resistor
"RES,CF 1.0K 5% 1/4W AXL",Resistor
"RES.NET. 1.0K,2%. 1.25W.10PSIP",Resistor
"RES,CF 1.2K 5% 1/4W AXL",Resistor
"RES,CF 10K 5% 1/4W AXL",Resistor
"RES NET, 10K 2% 9R10P SIP",Resistor
"RES,CF 15K 5% 1/4W AXL",Resistor
"RES,CF 22K 5% 1/4W AXL",Resistor
"RES,METAL FILM,AXIAL,267KOHM,1/4WATT,1%",Resistor
"RES.PWR FLM,0.10,1%,15W TO-126",Resistor
"SEMS,SQ CONE.6-32x1/2.PNH,PHIL",Misc. Mechanical
SKT IC 20PIN .1X.3CT .175H PCB,Connector
SKT IC 28PIN .1X.6CT .180H PCB,Connector
"SKT IC.52-PIN,PLCC. SQUARE.",Connector
"SKT,IC 24P DIP .1x.3CT PCB",Connector
"STDF,RND PCB,.143 X.125H,SS",Misc. Mechanical
TEST POINT1POS TYPE105 WHITE,Misc. Electrical
TEST POINT1POS TYP105 GRY.035D,Misc. Electrical
TEST POINT1POS TYP105 BLK.035D,Misc. Electrical
"4-40x3/8 SCR.PAN HD,PHIL. SST.",Screw / Bolt
"4-40 NUT,HEX/SM.PATT. 3/16AF.",Nut
"#4 L/WASH,SPLIT.MEDIUM.STL/Zn.",Misc. Mechanical
"WSHR FL .125ID .281""OD.027T ZN",Misc. Mechanical
"CAP.CER.47PF,5%.50V.COG.SM1206",Capacitor
"CAP.CER.470PF,5%.50V COG S1206",Capacitor
"CAP.CER. 0.01MF,10%.50V.X7R.SM",Capacitor
"CAP.CER. 0.1MF,10%.50V.X7R. SM",Capacitor
"CAP.CER. 1.0MF,10%.50V.X7R. SM,1206",Capacitor
"CAP.TANT. 4.7MF,10%. 25V. SM.",Capacitor
"CAP,47UF, 50V,6.3 X 8, (D),20% SMT",Capacitor
"XTAL OSC,16MHz TTL 5.0V 9.8x14mm SMT",Crystal
"LED,GRN,SM,3.5X2.7mm,5V,120DEG",Diode
"IC,XSTR,NPN,160V HI V SOT23,SM",IC
"IC, CONVERTER 12 BIT A/D SO-8",IC
"IC 74HCT14.INVERTER. 14-P,SOIC",IC
"IC,MICRO-CNLR,512RAM,52P,PLC,8",IC
"IC,MICRO-CNLR,512RAM/EEPROM P8",IC
IC 12-BIT DAC RAIL TO RAIL SO8,IC
"IC, MICROMONITOR, 8P SOIC,SMT",IC
"IC,HI VOLT XSTR,PNP,150V,SOT23",IC
"IC,1205 CONV 12VDC-5DC .25W HI",IC
"IC 2068.DAR QUAD DRVR.20P,SOIC",IC
"IC,474 DUAL OP-AMP 5V 8OS 10MZ",IC
"IC,233AC,RS-232DRVR,5V,MULT.CH",IC
"RES,CHIP 150 1% 1/4W SM1206",Resistor
"RES,CHIP 4.75K 1% 1/4W SM1206",Resistor
"RES,CHIP 29.4K 1% 1/4W SM1206",Resistor
"RES,CHIP 100 1% 1/4W SM1206",Resistor
"RES,CHIP 1.0K 1% 1/4W SM1206",Resistor
"RES,CHIP 10.0K 1% 1/4W SM1206",Resistor
"RES,CHIP 100K 1% 1/4W SM1206",Resistor
"RES,CHIP 11.5K 1% 1/4W SM1206",Resistor
"RES,CHIP 12.4K 1% 1/4W SM1206",Resistor
"RES,CHIP 14.7K 1% 1/4W SM1206",Resistor
"RES,CHIP 1.74K 1% 1/4W SM 1206",Resistor
"RES,CHIP 2.0K 1% 1/4W SM1206",Resistor
"RES,CHIP 22.1 1% 1/4W SM1206",Resistor
"RES,CHIP 243 1% 1/4W SM1206",Resistor
"RES,CHIP 24.9K 1% 1/4W SM 1206",Resistor
"RES,CHIP 2.74K,1% 1/4W SM1206",Resistor
"RES,CHIP 3.16K 1% 1/4W SM 1206",Resistor
"RES,CHIP 3.65K 1% 1/4W SM1206",Resistor
"RES,CHIP 40.2K 1% 1/4W SM1206",Resistor
"RES,CHIP 4.12K 1% 1/4W SM1206",Resistor
"RES,CHIP 4.99K 1% 1/4W SM1206",Resistor
"RES,CHIP 49.9K 1% 1/4W SM1206",Resistor
"RES,CHIP 71.5K 1% 1/4W SM 1206",Resistor
"RES,CHIP 8.25K 1% 1/4W SM1206",Resistor
"RES,CHIP 887 1% 1/4W SM 1206",Resistor
"RES,CHIP 9.76K 1% 1/4W SM 1206",Resistor
"DIODE,MRA4004T3,1A400V,SM",Diode
DIODE DUAL SCHOTTKY HSMS2812,Diode
"DIODE,ZENER 5920 6.2V 3W SM403",Diode
"DIODE,ZENER 5927 12V 3W SM0403",Diode
"DIP SWITCH, 4 POS. SMT",Switch
"SW,PB MOM SPST 50V SMT 6.22X6",Diode
"CARD EJECTOR, A5",Misc. Electrical
"PBC FAB, MOTHERBOARD LOGIC",Printed Circuit Board
"PCB ASSY,MTHBD LOGIC 4080/4090",Printed Circuit Board Assembly
"PCB ASSY, A911 MUX/DRIVER",Printed Circuit Board Assembly
PCA PROBE CD CHANGER-LGC,Printed Circuit Board Assembly
PCA CPCS II - 4080,Printed Circuit Board Assembly
PCB ASSY CPCS II -4080,Printed Circuit Board Assembly
PCA A14B MATERIAL HANDLER,Printed Circuit Board Assembly
PCA SERIAL COMM BD III,Printed Circuit Board Assembly
PCA ASSY SERIAL COMM BD II,Printed Circuit Board Assembly
"PCB ASSY, 3CCD CAMR ARRAY2",Printed Circuit Board Assembly
"PCB FAB,HM-4K CONTROLLER",Printed Circuit Board
"PCB ASSY,HM-4K CONTROLLER",Printed Circuit Board Assembly
"HEATSINK,HM-4K",Misc. Electrical
PCA IO DRVR MUTLI OPTION,Printed Circuit Board Assembly
PCA ONT ILLUM/PC VISION,Printed Circuit Board Assembly
PCA CPU020 HST,Printed Circuit Board Assembly
"PCB FAB,THETA Z JOYSTICK FUNCTION 4",Printed Circuit Board
"PCB ASSEMBLY,THETA Z JOYSTICK FUNCTION 4",Printed Circuit Board Assembly
PCA A911 PCB 4090U+,Printed Circuit Board Assembly
PCA A911 PCB 4090U+,Printed Circuit Board Assembly
IC7805/340.VOLT.REG.5V. TO-220,IC
PCA A2 PCB MOTION CONTROL,Printed Circuit Board Assembly
"2-56x3/8 SCR.PAN HD,PHIL. SST.",Screw / Bolt
6-32X 1/2 BINDER HD NYLON,Misc. Mechanical
"PCB ASSY,FET POWER DAR",Printed Circuit Board Assembly
"Cap, RoHS, 2.2uF, 50V, Cer",Capacitor
PCBA RoHS DISPLAY DRIVER 1,Printed Circuit Board Assembly
PCBA RoHS DISPLAY DRIVER 1,Printed Circuit Board Assembly
"ASSY PCBA  RoHS, Generic Boot Loader",Printed Circuit Board Assembly
"PCA, iMX535 Display Driver, RoHS",Printed Circuit Board Assembly
"PCA, iMX535 Display Driver, RoHS",Printed Circuit Board Assembly
"Inductor Assembly, 3.20uH",Inductor
"INDUCTOR ASSEMBLY,ROHS, 27UH",Inductor
"INDUCTOR ASSEMBLY,ROHS, 10UH",Inductor
"PCA, RoHS, RFID Module",Printed Circuit Board Assembly
"PCBA, RoHS, RFID Module",Printed Circuit Board Assembly
PCBA RoHS RFID MODULE,Printed Circuit Board Assembly
"PCBA, Inside Mount Electro-surgical",Printed Circuit Board Assembly
